artifact_id,label,primary_kind,facets
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,ontology-image:org.hegel.epistemology.absolute_concept.scientific_inference image,program-image,dataset-node-kind:image|entrypoint
img.feature:0:pf_0_org.hegel.epistemology.absolute_concept.scientific_inference,org.hegel.epistemology.absolute_concept.scientific_inference,feature-map,dataset-node-kind:feature
img.feature:10:pf_10_derive__determinacy,derive::determinacy,feature-map,dataset-node-kind:feature
img.feature:11:pf_11_reflection__essence_path,reflection::essence_path,feature-map,dataset-node-kind:feature
img.feature:12:pf_12_preserve__being,preserve::being,feature-map,dataset-node-kind:feature
img.feature:13:pf_13_stage__identity,stage::identity,feature-map,dataset-node-kind:feature
img.feature:14:pf_14_stage__opposition,stage::opposition,feature-map,dataset-node-kind:feature
img.feature:15:pf_15_stage__contradiction,stage::contradiction,feature-map,dataset-node-kind:feature
img.feature:16:pf_16_stage__ground,stage::ground,feature-map,dataset-node-kind:feature
img.feature:17:pf_17_stage__condition,stage::condition,feature-map,dataset-node-kind:feature
img.feature:18:pf_18_culminate__mark,culminate::mark,feature-map,dataset-node-kind:feature
img.feature:19:pf_19_logogenesis__scientific_genesis,logogenesis::scientific_genesis,feature-map,dataset-node-kind:feature
img.feature:1:pf_1_use__std.dataset,use::std.dataset,feature-map,dataset-node-kind:feature
img.feature:20:pf_20_from__essence_path,from::essence_path,feature-map,dataset-node-kind:feature
img.feature:21:pf_21_unfold__thing,unfold::thing,feature-map,dataset-node-kind:feature
img.feature:22:pf_22_unfold__law,unfold::law,feature-map,dataset-node-kind:feature
img.feature:23:pf_23_unfold__essential_relation,unfold::essential_relation,feature-map,dataset-node-kind:feature
img.feature:24:pf_24_preserve__dharma_path,preserve::dharma_path,feature-map,dataset-node-kind:feature
img.feature:25:pf_25_mark__quality,mark::quality,feature-map,dataset-node-kind:feature
img.feature:26:pf_26_mark__measure,mark::measure,feature-map,dataset-node-kind:feature
img.feature:27:pf_27_mark__ground,mark::ground,feature-map,dataset-node-kind:feature
img.feature:28:pf_28_concept__appearanceobject,concept::AppearanceObject,feature-map,dataset-node-kind:feature
img.feature:29:pf_29_identity__observation_id,identity::observation_id,feature-map,dataset-node-kind:feature
img.feature:2:pf_2_use__std.logic,use::std.logic,feature-map,dataset-node-kind:feature
img.feature:30:pf_30_mark__quality,mark::quality,feature-map,dataset-node-kind:feature
img.feature:31:pf_31_mark__measure,mark::measure,feature-map,dataset-node-kind:feature
img.feature:32:pf_32_mark__ground,mark::ground,feature-map,dataset-node-kind:feature
img.feature:33:pf_33_mark__determinacy,mark::determinacy,feature-map,dataset-node-kind:feature
img.feature:34:pf_34_judgment__determinate_appearance,judgment::determinate_appearance,feature-map,dataset-node-kind:feature
img.feature:35:pf_35_infer__singular,infer::singular,feature-map,dataset-node-kind:feature
img.feature:36:pf_36_infer__stable,infer::stable,feature-map,dataset-node-kind:feature
img.feature:37:pf_37_infer__grounded,infer::grounded,feature-map,dataset-node-kind:feature
img.feature:38:pf_38_syllogism__scientific_inference,syllogism::scientific_inference,feature-map,dataset-node-kind:feature
img.feature:39:pf_39_middle__ground,middle::ground,feature-map,dataset-node-kind:feature
img.feature:3:pf_3_use__std.dialectic,use::std.dialectic,feature-map,dataset-node-kind:feature
img.feature:40:pf_40_conclude__knowable,conclude::knowable,feature-map,dataset-node-kind:feature
img.feature:41:pf_41_conclude__lawful,conclude::lawful,feature-map,dataset-node-kind:feature
img.feature:42:pf_42_principle__absolute_concept,principle::absolute_concept,feature-map,dataset-node-kind:feature
img.feature:43:pf_43_require__lawful,require::lawful,feature-map,dataset-node-kind:feature
img.feature:44:pf_44_unify__concept-judgment-syllogism,unify::concept-judgment-syllogism,feature-map,dataset-node-kind:feature
img.feature:45:pf_45_infer__scientific_object,infer::scientific_object,feature-map,dataset-node-kind:feature
img.feature:46:pf_46_query__scientific_objects,query::scientific_objects,feature-map,dataset-node-kind:feature
img.feature:47:pf_47_select__observation_id-quality-measure-lawful,select::observation_id-quality-measure-lawful,feature-map,dataset-node-kind:feature
img.feature:48:pf_48_from__appearanceobject,from::AppearanceObject,feature-map,dataset-node-kind:feature
img.feature:49:pf_49_where__scientific_object,where::scientific_object,feature-map,dataset-node-kind:feature
img.feature:4:pf_4_source__perception_stream,source::perception_stream,feature-map,dataset-node-kind:feature
img.feature:50:pf_50_procedure__compile_absolute_concept,procedure::compile_absolute_concept,feature-map,dataset-node-kind:feature
img.feature:51:pf_51_emit__sensation-dataset,emit::sensation-dataset,feature-map,dataset-node-kind:feature
img.feature:52:pf_52_emit__appearance-dataset,emit::appearance-dataset,feature-map,dataset-node-kind:feature
img.feature:53:pf_53_emit__reflection-dataset,emit::reflection-dataset,feature-map,dataset-node-kind:feature
img.feature:54:pf_54_emit__logogenesis-dataset,emit::logogenesis-dataset,feature-map,dataset-node-kind:feature
img.feature:55:pf_55_emit__mark-dataset,emit::mark-dataset,feature-map,dataset-node-kind:feature
img.feature:56:pf_56_emit__concept-dataset,emit::concept-dataset,feature-map,dataset-node-kind:feature
img.feature:57:pf_57_emit__judgment-dataset,emit::judgment-dataset,feature-map,dataset-node-kind:feature
img.feature:58:pf_58_emit__syllogism-dataset,emit::syllogism-dataset,feature-map,dataset-node-kind:feature
img.feature:59:pf_59_emit__principle-dataset,emit::principle-dataset,feature-map,dataset-node-kind:feature
img.feature:5:pf_5_appearance__empirical_appearance,appearance::empirical_appearance,feature-map,dataset-node-kind:feature
img.feature:60:pf_60_emit__absolute-concept-manifest,emit::absolute-concept-manifest,feature-map,dataset-node-kind:feature
img.feature:61:pf_61_emit__dataset-artifacts,emit::dataset-artifacts,feature-map,dataset-node-kind:feature
img.feature:6:pf_6_key__observation_id,key::observation_id,feature-map,dataset-node-kind:feature
img.feature:7:pf_7_retain__observation_id-timestamp-modality-intensity-note,retain::observation_id-timestamp-modality-intensity-note,feature-map,dataset-node-kind:feature
img.feature:8:pf_8_derive__immediacy,derive::immediacy,feature-map,dataset-node-kind:feature
img.feature:9:pf_9_derive__persistence,derive::persistence,feature-map,dataset-node-kind:feature
img.model:0:appearanceobject,AppearanceObject,model-view,dataset-node-kind:model
img.provenance:0:org.hegel.epistemology.absolute_concept.scientific_inference,org.hegel.epistemology.absolute_concept.scientific_inference,table,dataset-node-kind:frame
