artifact_id,key,value
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,compilation.entrypoint,true
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,image.engine,polars
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,image.kind,ontology-dataframe-image
img.feature:0:pf_0_org.hegel.epistemology.absolute_concept.scientific_inference,feature.id,pf:0:org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:0:pf_0_org.hegel.epistemology.absolute_concept.scientific_inference,feature.kind,specification-binding
img.feature:0:pf_0_org.hegel.epistemology.absolute_concept.scientific_inference,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:10:pf_10_derive__determinacy,feature.id,pf:10:derive__determinacy
img.feature:10:pf_10_derive__determinacy,feature.kind,mark
img.feature:10:pf_10_derive__determinacy,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:11:pf_11_reflection__essence_path,feature.id,pf:11:reflection__essence_path
img.feature:11:pf_11_reflection__essence_path,feature.kind,reflection
img.feature:11:pf_11_reflection__essence_path,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:12:pf_12_preserve__being,feature.id,pf:12:preserve__being
img.feature:12:pf_12_preserve__being,feature.kind,reflection
img.feature:12:pf_12_preserve__being,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:13:pf_13_stage__identity,feature.id,pf:13:stage__identity
img.feature:13:pf_13_stage__identity,feature.kind,reflection
img.feature:13:pf_13_stage__identity,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:14:pf_14_stage__opposition,feature.id,pf:14:stage__opposition
img.feature:14:pf_14_stage__opposition,feature.kind,reflection
img.feature:14:pf_14_stage__opposition,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:15:pf_15_stage__contradiction,feature.id,pf:15:stage__contradiction
img.feature:15:pf_15_stage__contradiction,feature.kind,reflection
img.feature:15:pf_15_stage__contradiction,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:16:pf_16_stage__ground,feature.id,pf:16:stage__ground
img.feature:16:pf_16_stage__ground,feature.kind,reflection
img.feature:16:pf_16_stage__ground,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:17:pf_17_stage__condition,feature.id,pf:17:stage__condition
img.feature:17:pf_17_stage__condition,feature.kind,reflection
img.feature:17:pf_17_stage__condition,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:18:pf_18_culminate__mark,feature.id,pf:18:culminate__mark
img.feature:18:pf_18_culminate__mark,feature.kind,reflection
img.feature:18:pf_18_culminate__mark,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:19:pf_19_logogenesis__scientific_genesis,feature.id,pf:19:logogenesis__scientific_genesis
img.feature:19:pf_19_logogenesis__scientific_genesis,feature.kind,logogenesis
img.feature:19:pf_19_logogenesis__scientific_genesis,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:1:pf_1_use__std.dataset,feature.id,pf:1:use__std.dataset
img.feature:1:pf_1_use__std.dataset,feature.kind,import
img.feature:1:pf_1_use__std.dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:20:pf_20_from__essence_path,feature.id,pf:20:from__essence_path
img.feature:20:pf_20_from__essence_path,feature.kind,source
img.feature:20:pf_20_from__essence_path,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:21:pf_21_unfold__thing,feature.id,pf:21:unfold__thing
img.feature:21:pf_21_unfold__thing,feature.kind,logogenesis
img.feature:21:pf_21_unfold__thing,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:22:pf_22_unfold__law,feature.id,pf:22:unfold__law
img.feature:22:pf_22_unfold__law,feature.kind,logogenesis
img.feature:22:pf_22_unfold__law,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:23:pf_23_unfold__essential_relation,feature.id,pf:23:unfold__essential_relation
img.feature:23:pf_23_unfold__essential_relation,feature.kind,logogenesis
img.feature:23:pf_23_unfold__essential_relation,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:24:pf_24_preserve__dharma_path,feature.id,pf:24:preserve__dharma_path
img.feature:24:pf_24_preserve__dharma_path,feature.kind,reflection
img.feature:24:pf_24_preserve__dharma_path,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:25:pf_25_mark__quality,feature.id,pf:25:mark__quality
img.feature:25:pf_25_mark__quality,feature.kind,mark
img.feature:25:pf_25_mark__quality,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:26:pf_26_mark__measure,feature.id,pf:26:mark__measure
img.feature:26:pf_26_mark__measure,feature.kind,mark
img.feature:26:pf_26_mark__measure,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:27:pf_27_mark__ground,feature.id,pf:27:mark__ground
img.feature:27:pf_27_mark__ground,feature.kind,mark
img.feature:27:pf_27_mark__ground,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:28:pf_28_concept__appearanceobject,feature.id,pf:28:concept__appearanceobject
img.feature:28:pf_28_concept__appearanceobject,feature.kind,concept
img.feature:28:pf_28_concept__appearanceobject,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:29:pf_29_identity__observation_id,feature.id,pf:29:identity__observation_id
img.feature:29:pf_29_identity__observation_id,feature.kind,concept
img.feature:29:pf_29_identity__observation_id,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:2:pf_2_use__std.logic,feature.id,pf:2:use__std.logic
img.feature:2:pf_2_use__std.logic,feature.kind,import
img.feature:2:pf_2_use__std.logic,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:30:pf_30_mark__quality,feature.id,pf:30:mark__quality
img.feature:30:pf_30_mark__quality,feature.kind,mark
img.feature:30:pf_30_mark__quality,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:31:pf_31_mark__measure,feature.id,pf:31:mark__measure
img.feature:31:pf_31_mark__measure,feature.kind,mark
img.feature:31:pf_31_mark__measure,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:32:pf_32_mark__ground,feature.id,pf:32:mark__ground
img.feature:32:pf_32_mark__ground,feature.kind,mark
img.feature:32:pf_32_mark__ground,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:33:pf_33_mark__determinacy,feature.id,pf:33:mark__determinacy
img.feature:33:pf_33_mark__determinacy,feature.kind,mark
img.feature:33:pf_33_mark__determinacy,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:34:pf_34_judgment__determinate_appearance,feature.id,pf:34:judgment__determinate_appearance
img.feature:34:pf_34_judgment__determinate_appearance,feature.kind,judgment
img.feature:34:pf_34_judgment__determinate_appearance,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:35:pf_35_infer__singular,feature.id,pf:35:infer__singular
img.feature:35:pf_35_infer__singular,feature.kind,inference
img.feature:35:pf_35_infer__singular,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:36:pf_36_infer__stable,feature.id,pf:36:infer__stable
img.feature:36:pf_36_infer__stable,feature.kind,inference
img.feature:36:pf_36_infer__stable,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:37:pf_37_infer__grounded,feature.id,pf:37:infer__grounded
img.feature:37:pf_37_infer__grounded,feature.kind,inference
img.feature:37:pf_37_infer__grounded,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:38:pf_38_syllogism__scientific_inference,feature.id,pf:38:syllogism__scientific_inference
img.feature:38:pf_38_syllogism__scientific_inference,feature.kind,syllogism
img.feature:38:pf_38_syllogism__scientific_inference,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:39:pf_39_middle__ground,feature.id,pf:39:middle__ground
img.feature:39:pf_39_middle__ground,feature.kind,syllogism
img.feature:39:pf_39_middle__ground,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:3:pf_3_use__std.dialectic,feature.id,pf:3:use__std.dialectic
img.feature:3:pf_3_use__std.dialectic,feature.kind,import
img.feature:3:pf_3_use__std.dialectic,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:40:pf_40_conclude__knowable,feature.id,pf:40:conclude__knowable
img.feature:40:pf_40_conclude__knowable,feature.kind,inference
img.feature:40:pf_40_conclude__knowable,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:41:pf_41_conclude__lawful,feature.id,pf:41:conclude__lawful
img.feature:41:pf_41_conclude__lawful,feature.kind,inference
img.feature:41:pf_41_conclude__lawful,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:42:pf_42_principle__absolute_concept,feature.id,pf:42:principle__absolute_concept
img.feature:42:pf_42_principle__absolute_concept,feature.kind,principle
img.feature:42:pf_42_principle__absolute_concept,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:43:pf_43_require__lawful,feature.id,pf:43:require__lawful
img.feature:43:pf_43_require__lawful,feature.kind,condition
img.feature:43:pf_43_require__lawful,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:44:pf_44_unify__concept-judgment-syllogism,feature.id,pf:44:unify__concept-judgment-syllogism
img.feature:44:pf_44_unify__concept-judgment-syllogism,feature.kind,principle
img.feature:44:pf_44_unify__concept-judgment-syllogism,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:45:pf_45_infer__scientific_object,feature.id,pf:45:infer__scientific_object
img.feature:45:pf_45_infer__scientific_object,feature.kind,inference
img.feature:45:pf_45_infer__scientific_object,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:46:pf_46_query__scientific_objects,feature.id,pf:46:query__scientific_objects
img.feature:46:pf_46_query__scientific_objects,feature.kind,query
img.feature:46:pf_46_query__scientific_objects,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:47:pf_47_select__observation_id-quality-measure-lawful,feature.id,pf:47:select__observation_id-quality-measure-lawful
img.feature:47:pf_47_select__observation_id-quality-measure-lawful,feature.kind,query
img.feature:47:pf_47_select__observation_id-quality-measure-lawful,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:48:pf_48_from__appearanceobject,feature.id,pf:48:from__appearanceobject
