artifact_id,relation,target_id
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:0:pf_0_org.hegel.epistemology.absolute_concept.scientific_inference
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:10:pf_10_derive__determinacy
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:11:pf_11_reflection__essence_path
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:12:pf_12_preserve__being
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:13:pf_13_stage__identity
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:14:pf_14_stage__opposition
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:15:pf_15_stage__contradiction
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:16:pf_16_stage__ground
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:17:pf_17_stage__condition
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:18:pf_18_culminate__mark
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:19:pf_19_logogenesis__scientific_genesis
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:1:pf_1_use__std.dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:20:pf_20_from__essence_path
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:21:pf_21_unfold__thing
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:22:pf_22_unfold__law
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:23:pf_23_unfold__essential_relation
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:24:pf_24_preserve__dharma_path
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:25:pf_25_mark__quality
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:26:pf_26_mark__measure
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:27:pf_27_mark__ground
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:28:pf_28_concept__appearanceobject
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:29:pf_29_identity__observation_id
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:2:pf_2_use__std.logic
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:30:pf_30_mark__quality
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:31:pf_31_mark__measure
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:32:pf_32_mark__ground
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:33:pf_33_mark__determinacy
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:34:pf_34_judgment__determinate_appearance
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:35:pf_35_infer__singular
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:36:pf_36_infer__stable
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:37:pf_37_infer__grounded
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:38:pf_38_syllogism__scientific_inference
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:39:pf_39_middle__ground
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:3:pf_3_use__std.dialectic
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:40:pf_40_conclude__knowable
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:41:pf_41_conclude__lawful
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:42:pf_42_principle__absolute_concept
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:43:pf_43_require__lawful
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:44:pf_44_unify__concept-judgment-syllogism
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:45:pf_45_infer__scientific_object
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:46:pf_46_query__scientific_objects
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:47:pf_47_select__observation_id-quality-measure-lawful
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:48:pf_48_from__appearanceobject
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:49:pf_49_where__scientific_object
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:4:pf_4_source__perception_stream
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:50:pf_50_procedure__compile_absolute_concept
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:51:pf_51_emit__sensation-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:52:pf_52_emit__appearance-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:53:pf_53_emit__reflection-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:54:pf_54_emit__logogenesis-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:55:pf_55_emit__mark-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:56:pf_56_emit__concept-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:57:pf_57_emit__judgment-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:58:pf_58_emit__syllogism-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:59:pf_59_emit__principle-dataset
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:5:pf_5_appearance__empirical_appearance
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:60:pf_60_emit__absolute-concept-manifest
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:61:pf_61_emit__dataset-artifacts
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:6:pf_6_key__observation_id
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:7:pf_7_retain__observation_id-timestamp-modality-intensity-note
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:8:pf_8_derive__immediacy
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.feature:9:pf_9_derive__persistence
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.model:0:appearanceobject
image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,img.provenance:0:org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:0:pf_0_org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:10:pf_10_derive__determinacy,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:11:pf_11_reflection__essence_path,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:12:pf_12_preserve__being,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:13:pf_13_stage__identity,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:14:pf_14_stage__opposition,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:15:pf_15_stage__contradiction,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:16:pf_16_stage__ground,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:17:pf_17_stage__condition,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:18:pf_18_culminate__mark,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:19:pf_19_logogenesis__scientific_genesis,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:1:pf_1_use__std.dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:20:pf_20_from__essence_path,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:21:pf_21_unfold__thing,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:22:pf_22_unfold__law,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:23:pf_23_unfold__essential_relation,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:24:pf_24_preserve__dharma_path,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:25:pf_25_mark__quality,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:26:pf_26_mark__measure,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:27:pf_27_mark__ground,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:28:pf_28_concept__appearanceobject,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:29:pf_29_identity__observation_id,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:2:pf_2_use__std.logic,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:30:pf_30_mark__quality,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:31:pf_31_mark__measure,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:32:pf_32_mark__ground,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:33:pf_33_mark__determinacy,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:34:pf_34_judgment__determinate_appearance,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:35:pf_35_infer__singular,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:36:pf_36_infer__stable,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:37:pf_37_infer__grounded,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:38:pf_38_syllogism__scientific_inference,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:39:pf_39_middle__ground,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:3:pf_3_use__std.dialectic,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:40:pf_40_conclude__knowable,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:41:pf_41_conclude__lawful,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:42:pf_42_principle__absolute_concept,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:43:pf_43_require__lawful,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:44:pf_44_unify__concept-judgment-syllogism,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:45:pf_45_infer__scientific_object,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:46:pf_46_query__scientific_objects,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:47:pf_47_select__observation_id-quality-measure-lawful,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:48:pf_48_from__appearanceobject,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:49:pf_49_where__scientific_object,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:4:pf_4_source__perception_stream,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:50:pf_50_procedure__compile_absolute_concept,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:51:pf_51_emit__sensation-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:52:pf_52_emit__appearance-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:53:pf_53_emit__reflection-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:54:pf_54_emit__logogenesis-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:55:pf_55_emit__mark-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:56:pf_56_emit__concept-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:57:pf_57_emit__judgment-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:58:pf_58_emit__syllogism-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:59:pf_59_emit__principle-dataset,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:5:pf_5_appearance__empirical_appearance,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:60:pf_60_emit__absolute-concept-manifest,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:61:pf_61_emit__dataset-artifacts,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:6:pf_6_key__observation_id,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:7:pf_7_retain__observation_id-timestamp-modality-intensity-note,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:8:pf_8_derive__immediacy,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:9:pf_9_derive__persistence,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.model:0:appearanceobject,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
img.provenance:0:org.hegel.epistemology.absolute_concept.scientific_inference,depends-on,image:ontology-image_org.hegel.epistemology.absolute_concept.scientific_inference
