artifact_id,key,value
image:ontology-image_rustscript.dataset.model_feature_plan,compilation.entrypoint,true
image:ontology-image_rustscript.dataset.model_feature_plan,image.engine,polars
image:ontology-image_rustscript.dataset.model_feature_plan,image.kind,ontology-dataframe-image
img.feature:0:pf_0_rustscript.dataset.model_feature_plan,feature.id,pf:0:rustscript.dataset.model_feature_plan
img.feature:0:pf_0_rustscript.dataset.model_feature_plan,feature.kind,specification-binding
img.feature:0:pf_0_rustscript.dataset.model_feature_plan,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:10:pf_10_judgment__model-feature-plan-derive-together,feature.id,pf:10:judgment__model-feature-plan-derive-together
img.feature:10:pf_10_judgment__model-feature-plan-derive-together,feature.kind,judgment
img.feature:10:pf_10_judgment__model-feature-plan-derive-together,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:11:pf_11_middle__frame-as-essentialbeing,feature.id,pf:11:middle__frame-as-essentialbeing
img.feature:11:pf_11_middle__frame-as-essentialbeing,feature.kind,syllogism
img.feature:11:pf_11_middle__frame-as-essentialbeing,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:12:pf_12_infer__semantic-readiness,feature.id,pf:12:infer__semantic-readiness
img.feature:12:pf_12_infer__semantic-readiness,feature.kind,inference
img.feature:12:pf_12_infer__semantic-readiness,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:13:pf_13_procedure__persist-model-feature-plan-artifacts,feature.id,pf:13:procedure__persist-model-feature-plan-artifacts
img.feature:13:pf_13_procedure__persist-model-feature-plan-artifacts,feature.kind,procedure
img.feature:13:pf_13_procedure__persist-model-feature-plan-artifacts,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:1:pf_1_source__frame,feature.id,pf:1:source__frame
img.feature:1:pf_1_source__frame,feature.kind,source
img.feature:1:pf_1_source__frame,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:2:pf_2_observation__term_id,feature.id,pf:2:observation__term_id
img.feature:2:pf_2_observation__term_id,feature.kind,observation
img.feature:2:pf_2_observation__term_id,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:3:pf_3_retain__fields,feature.id,pf:3:retain__fields
img.feature:3:pf_3_retain__fields,feature.kind,observation
img.feature:3:pf_3_retain__fields,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:4:pf_4_reflection__model-feature-plan-middle,feature.id,pf:4:reflection__model-feature-plan-middle
img.feature:4:pf_4_reflection__model-feature-plan-middle,feature.kind,reflection
img.feature:4:pf_4_reflection__model-feature-plan-middle,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:5:pf_5_mark__model,feature.id,pf:5:mark__model
img.feature:5:pf_5_mark__model,feature.kind,mark
img.feature:5:pf_5_mark__model,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:6:pf_6_mark__feature,feature.id,pf:6:mark__feature
img.feature:6:pf_6_mark__feature,feature.kind,mark
img.feature:6:pf_6_mark__feature,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:7:pf_7_mark__plan,feature.id,pf:7:mark__plan
img.feature:7:pf_7_mark__plan,feature.kind,mark
img.feature:7:pf_7_mark__plan,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:8:pf_8_concept__modelfeatureplanmiddle,feature.id,pf:8:concept__modelfeatureplanmiddle
img.feature:8:pf_8_concept__modelfeatureplanmiddle,feature.kind,concept
img.feature:8:pf_8_concept__modelfeatureplanmiddle,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.feature:9:pf_9_principle__essence-middle-requires-mutual-ground,feature.id,pf:9:principle__essence-middle-requires-mutual-ground
img.feature:9:pf_9_principle__essence-middle-requires-mutual-ground,feature.kind,principle
img.feature:9:pf_9_principle__essence-middle-requires-mutual-ground,feature.ontology_ids,rustscript.dataset.model_feature_plan
img.model:0:modelfeatureplanmiddle,model.id,ModelFeaturePlanMiddle
img.model:0:modelfeatureplanmiddle,model.kind,model
img.model:0:modelfeatureplanmiddle,model.ontology_ids,rustscript.dataset.model_feature_plan
img.provenance:0:rustscript.dataset.model_feature_plan,provenance.generated_at_unix_ms,0
img.provenance:0:rustscript.dataset.model_feature_plan,provenance.runtime_mode,transcendental-logic
img.provenance:0:rustscript.dataset.model_feature_plan,provenance.source,gdsl/sdsl
img.provenance:0:rustscript.dataset.model_feature_plan,provenance.substrate,dataframe/dataset
