artifact_id,relation,target_id
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:0:pf_0_rustscript.dataset.model_feature_plan
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:10:pf_10_judgment__model-feature-plan-derive-together
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:11:pf_11_middle__frame-as-essentialbeing
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:12:pf_12_infer__semantic-readiness
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:13:pf_13_procedure__persist-model-feature-plan-artifacts
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:1:pf_1_source__frame
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:2:pf_2_observation__term_id
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:3:pf_3_retain__fields
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:4:pf_4_reflection__model-feature-plan-middle
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:5:pf_5_mark__model
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:6:pf_6_mark__feature
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:7:pf_7_mark__plan
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:8:pf_8_concept__modelfeatureplanmiddle
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.feature:9:pf_9_principle__essence-middle-requires-mutual-ground
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.model:0:modelfeatureplanmiddle
image:ontology-image_rustscript.dataset.model_feature_plan,depends-on,img.provenance:0:rustscript.dataset.model_feature_plan
img.feature:0:pf_0_rustscript.dataset.model_feature_plan,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:10:pf_10_judgment__model-feature-plan-derive-together,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:11:pf_11_middle__frame-as-essentialbeing,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:12:pf_12_infer__semantic-readiness,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:13:pf_13_procedure__persist-model-feature-plan-artifacts,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:1:pf_1_source__frame,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:2:pf_2_observation__term_id,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:3:pf_3_retain__fields,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:4:pf_4_reflection__model-feature-plan-middle,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:5:pf_5_mark__model,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:6:pf_6_mark__feature,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:7:pf_7_mark__plan,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:8:pf_8_concept__modelfeatureplanmiddle,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.feature:9:pf_9_principle__essence-middle-requires-mutual-ground,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.model:0:modelfeatureplanmiddle,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
img.provenance:0:rustscript.dataset.model_feature_plan,depends-on,image:ontology-image_rustscript.dataset.model_feature_plan
