artifact_id,key,value
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,compilation.entrypoint,true
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,image.engine,polars
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,image.kind,ontology-dataframe-image
img.feature:0:pf_0_rustscript.doctrinal_method.semantic_dataset,feature.id,pf:0:rustscript.doctrinal_method.semantic_dataset
img.feature:0:pf_0_rustscript.doctrinal_method.semantic_dataset,feature.kind,specification-binding
img.feature:0:pf_0_rustscript.doctrinal_method.semantic_dataset,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:10:pf_10_identity__term_id,feature.id,pf:10:identity__term_id
img.feature:10:pf_10_identity__term_id,feature.kind,concept
img.feature:10:pf_10_identity__term_id,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:11:pf_11_principle__doctrinal-method-governs-return,feature.id,pf:11:principle__doctrinal-method-governs-return
img.feature:11:pf_11_principle__doctrinal-method-governs-return,feature.kind,principle
img.feature:11:pf_11_principle__doctrinal-method-governs-return,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:12:pf_12_judgment__feature-structs-compile-into-lm-applications,feature.id,pf:12:judgment__feature-structs-compile-into-lm-applications
img.feature:12:pf_12_judgment__feature-structs-compile-into-lm-applications,feature.kind,judgment
img.feature:12:pf_12_judgment__feature-structs-compile-into-lm-applications,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:13:pf_13_infer__semantic-readiness,feature.id,pf:13:infer__semantic-readiness
img.feature:13:pf_13_infer__semantic-readiness,feature.kind,inference
img.feature:13:pf_13_infer__semantic-readiness,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:14:pf_14_procedure__persist-doctrinal-pipeline-artifacts,feature.id,pf:14:procedure__persist-doctrinal-pipeline-artifacts
img.feature:14:pf_14_procedure__persist-doctrinal-pipeline-artifacts,feature.kind,procedure
img.feature:14:pf_14_procedure__persist-doctrinal-pipeline-artifacts,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:1:pf_1_source__doctrinal_frame,feature.id,pf:1:source__doctrinal_frame
img.feature:1:pf_1_source__doctrinal_frame,feature.kind,source
img.feature:1:pf_1_source__doctrinal_frame,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:2:pf_2_observation__term_id,feature.id,pf:2:observation__term_id
img.feature:2:pf_2_observation__term_id,feature.kind,observation
img.feature:2:pf_2_observation__term_id,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:3:pf_3_retain__fields,feature.id,pf:3:retain__fields
img.feature:3:pf_3_retain__fields,feature.kind,observation
img.feature:3:pf_3_retain__fields,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:4:pf_4_logogenesis__feature-struct-algebra,feature.id,pf:4:logogenesis__feature-struct-algebra
img.feature:4:pf_4_logogenesis__feature-struct-algebra,feature.kind,logogenesis
img.feature:4:pf_4_logogenesis__feature-struct-algebra,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:5:pf_5_subfeature__tokenizer,feature.id,pf:5:subfeature__tokenizer
img.feature:5:pf_5_subfeature__tokenizer,feature.kind,subfeature
img.feature:5:pf_5_subfeature__tokenizer,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:6:pf_6_subfeature__tagger,feature.id,pf:6:subfeature__tagger
img.feature:6:pf_6_subfeature__tagger,feature.kind,subfeature
img.feature:6:pf_6_subfeature__tagger,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:7:pf_7_subfeature__parser,feature.id,pf:7:subfeature__parser
img.feature:7:pf_7_subfeature__parser,feature.kind,subfeature
img.feature:7:pf_7_subfeature__parser,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:8:pf_8_subfeature__semantic-application,feature.id,pf:8:subfeature__semantic-application
img.feature:8:pf_8_subfeature__semantic-application,feature.kind,subfeature
img.feature:8:pf_8_subfeature__semantic-application,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.feature:9:pf_9_concept__doctrinalmethodsemdataset,feature.id,pf:9:concept__doctrinalmethodsemdataset
img.feature:9:pf_9_concept__doctrinalmethodsemdataset,feature.kind,concept
img.feature:9:pf_9_concept__doctrinalmethodsemdataset,feature.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.model:0:doctrinalmethodsemdataset,model.id,DoctrinalMethodSemDataset
img.model:0:doctrinalmethodsemdataset,model.kind,model
img.model:0:doctrinalmethodsemdataset,model.ontology_ids,rustscript.doctrinal_method.semantic_dataset
img.provenance:0:rustscript.doctrinal_method.semantic_dataset,provenance.generated_at_unix_ms,0
img.provenance:0:rustscript.doctrinal_method.semantic_dataset,provenance.runtime_mode,transcendental-logic
img.provenance:0:rustscript.doctrinal_method.semantic_dataset,provenance.source,gdsl/sdsl
img.provenance:0:rustscript.doctrinal_method.semantic_dataset,provenance.substrate,dataframe/dataset
