artifact_id,relation,target_id
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:0:pf_0_rustscript.doctrinal_method.semantic_dataset
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:10:pf_10_identity__term_id
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:11:pf_11_principle__doctrinal-method-governs-return
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:12:pf_12_judgment__feature-structs-compile-into-lm-applications
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:13:pf_13_infer__semantic-readiness
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:14:pf_14_procedure__persist-doctrinal-pipeline-artifacts
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:1:pf_1_source__doctrinal_frame
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:2:pf_2_observation__term_id
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:3:pf_3_retain__fields
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:4:pf_4_logogenesis__feature-struct-algebra
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:5:pf_5_subfeature__tokenizer
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:6:pf_6_subfeature__tagger
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:7:pf_7_subfeature__parser
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:8:pf_8_subfeature__semantic-application
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.feature:9:pf_9_concept__doctrinalmethodsemdataset
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.model:0:doctrinalmethodsemdataset
image:ontology-image_rustscript.doctrinal_method.semantic_dataset,depends-on,img.provenance:0:rustscript.doctrinal_method.semantic_dataset
img.feature:0:pf_0_rustscript.doctrinal_method.semantic_dataset,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:10:pf_10_identity__term_id,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:11:pf_11_principle__doctrinal-method-governs-return,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:12:pf_12_judgment__feature-structs-compile-into-lm-applications,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:13:pf_13_infer__semantic-readiness,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:14:pf_14_procedure__persist-doctrinal-pipeline-artifacts,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:1:pf_1_source__doctrinal_frame,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:2:pf_2_observation__term_id,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:3:pf_3_retain__fields,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:4:pf_4_logogenesis__feature-struct-algebra,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:5:pf_5_subfeature__tokenizer,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:6:pf_6_subfeature__tagger,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:7:pf_7_subfeature__parser,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:8:pf_8_subfeature__semantic-application,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.feature:9:pf_9_concept__doctrinalmethodsemdataset,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.model:0:doctrinalmethodsemdataset,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
img.provenance:0:rustscript.doctrinal_method.semantic_dataset,depends-on,image:ontology-image_rustscript.doctrinal_method.semantic_dataset
